image_id,present_words
84,"above,appear,atmosphere,attached,beautifully,best,blue,boundary,bright,calm,city,coloration,day,divided,even,fantastic,glittering,healed,horizon,indigo,lake,land,large,light,lighting,line,moon,more,mountain,night,ocean,overall,river,scenery,sea,seeing,shining,show,sky,space,sparkling,spreading,standing,throughout,tiredness,tomorrow,town,view,water,wave,wonderful"
85,"appear,blue,bottom,built,center,clear,cluster,collecting,corner,curve,dented,depressed,energy,facing,fine,gather,gentle,heading,inside,installed,light,lined,many,metal,number,object,panel,part,rodshaped,round,shape,sky,slightly,solar,square,storing,sun,sunlight,unusual,weather"
89,"animal,animals,area,armadillo,badger,cute,digging,dry,earth,eat,face,food,front,grass,grew,ground,growing,he,leg,little,long,looking,neck,place,pushing,rough,sand,sandbox,sandy,several,small,soil,stick,strange,tail"
97,"abnormally,actually,black,bright,burning,dark,drew,emitting,erupt,fall,fear,figure,fire,high,hot,image,light,likely,little,magma,mars,more,much,one,orange,part,pattern,picture,place,pulling,red,reflected,scared,screen,sparsely,spreading,sucked,sun,surface,temperature,torn,volcano,yellow"
99,"attractive,cheesy,cloth,concerned,costume,curator,dress,elegant,exclusive,fabric,full,gathered,glossy,green,guess,hardship,light,making,many,reflection,satin,screen,shadow,shine,shiny,shown,silk,slightly,spread,thin,wave,wrinkle"
104,"beautiful,blackandwhite,body,brown,cloud,cow,cute,eating,evening,felt,goat,got,grass,idyllic,impression,japan,knew,laughing,meadow,meal,never,one,orange,play,prairie,screen,seemed,seen,several,sky,slowly,spread,sun,terribly,time,walking,wanted,whole,wild,without"
109,"already,black,box,clean,coal,coalbased,container,felt,flow,forklift,forklist,fun,hose,impressive,item,loaded,male,man,many,men,motion,organized,overall,packed,place,puddle,remained,scenery,shown,spraying,stacked,vest,washed,water,watering,wearing,white,work,worker,working,workplace,yellow"
113,"adult,amount,aunt,big,boy,couple,crowded,depicting,describing,descriptor,different,displayed,drawing,drawn,explaining,front,grandchild,grandfather,grandmother,her,husband,imagine,interesting,keenly,large,looking,lying,male,man,many,museum,painting,people,picture,place,russian,saying,seeing,soldier,son,talking,thinking,towards,visited,wall,wartime,watching,wife,woman"
123,"back,beautiful,big,black,bright,center,cross,especially,even,fantastic,feeling,front,growing,hand,hill,hitting,impressive,landscape,large,little,mountain,night,over,perfect,rainbow,rock,shade,shaded,shining,shooting,silhouette,sky,spread,star,starry,tree,two,upper,whole,yellow"
126,"appears,beautiful,being,bobs,cheer,classroom,decorated,desk,did,difference,during,eager,ethnic,exam,face,finger,gray,hand,head,her,holding,id,inner,irritated,jacket,little,middle,necklace,one,parka,pen,person,point,purple,reason,ring,scarf,seeing,sense,serious,she,short,tension,testing,thinking,tilted,transmitted,unrepentantly,wear,wearing,white,woman,woolen"
137,"anywhere,beautiful,being,better,blue,bright,clear,cloud,clouds,feeling,felt,floating,grayish,impression,inhaled,little,looking,picnic,picture,rain,refreshing,screen,seen,sky,smartphone,sometimes,spread,spreading,taken,thin,throughout,under,visible,white"
140,"antique,atmosphere,bath,bathrobe,being,brown,calm,chair,chic,family,feeling,furniture,home,hotel,important,incompatibility,interior,long,magazine,men,oneseat,overall,people,place,quality,relaxing,rich,robe,room,sense,sitting,sofa,sometimes,style,talking,time,two,warm,wearing,white,woman,women"
145,"alone,amplified,amusement,attraction,big,blurred,brightly,building,caught,confirm,dark,darkness,daytime,dazzling,earth,even,fear,fence,flashy,green,here,illuminating,leaning,light,looking,machine,made,man,metal,more,move,movement,moving,nearby,neon,night,noon,park,people,red,scream,screaming,screen,shine,signboard,sitting,standing,surroundings,woman,yellow"
151,"against,arabic,beautiful,bowed,bowing,building,carpet,ceremony,colorful,colorfully,decoration,dozen,enough,floor,forehead,geometric,given,glass,hall,he,head,impressive,interior,knee,line,lined,little,low,male,men,painted,palace,pattern,people,praying,put,red,religious,row,stained,style,temple,visible,wall,wearing"
159,"acting,active,adult,around,beautiful,become,behind,building,built,cheerfully,child,city,clothes,coat,cold,colorful,dressed,everyone,feeling,hat,landscape,many,nonetheless,people,piled,rectangular,resort,scenery,selling,several,shop,ski,slope,snow,square,stacking,stone,terrible,tool,walker,walking,warm,wear,wearing,winter"
174,"able,altar,back,between,building,candle,christ,closer,composed,curved,decorative,drawn,edge,fire,front,given,hat,history,lit,mural,off,outdoors,painting,picture,piece,pillar,place,religious,s,screen,sculpture,sculptured,space,three,two,under,walking,wall,wearing,white,woman"
177,"appears,back,ball,beside,better,beyond,bunker,club,course,direction,enjoy,finished,flying,game,golf,good,gouged,green,hit,hitting,hope,man,men,moment,mountain,nature,open,part,pin,place,rocky,sand,sandbox,score,scraped,shot,stamped,stopped,sucked,towards,usual,vast,well,wonder"
183,"along,big,building,bus,car,city,clothes,coming,crowded,doubledecker,downtown,large,line,many,messy,overseas,people,person,picture,race,red,reflected,road,rough,run,sightseeing,spot,street,tall,taxi,various,walking"
186,"animal,back,background,big,blazing,blue,closer,comical,coming,coniferous,cute,face,far,felt,front,ground,hair,her,here,horse,kind,light,nose,one,over,pointing,reflected,scene,shining,shown,silver,sky,snow,spread,stacked,sun,top,tree,trouble,upside,wearing,white,world"
190,"angry,bald,basket,bread,bright,contains,cranky,decanter,did,drink,eat,even,eyeglass,face,few,front,glass,gray,hair,hand,having,he,holding,kind,light,lunch,man,match,middleaged,mustache,nothing,old,one,outside,person,piece,pitcher,plate,pour,pouring,put,red,replace,restaurant,scenery,sky,still,tasty,tilting,time,tried,try,various,wearing,white,window,wine"
196,"afternoon,around,basis,black,care,cherish,clock,close,consciousness,daily,difficult,face,few,grows,hand,mean,morning,number,photographing,red,round,scale,second,sleepy,time,understand,wanted,watch,white"
205,"abroad,along,atmosphere,became,beside,blue,boy,chatting,class,clothes,college,different,face,felt,fun,game,girl,group,hand,impression,japan,japanese,lady,little,locker,men,much,opposite,overseas,people,place,probably,room,sad,school,standing,story,student,talking,two,unlike,vertical,well,without,woman,young"
212,"bad,ball,behind,being,boy,center,doe,foot,gravel,hand,handling,heavy,high,hitting,kicking,lifting,machine,man,many,men,mountain,over,place,playing,poor,position,quarry,red,sand,sandy,shirt,short,slip,soccer,spread,stacked,surrounded,triangular,tshirt,wearing,white,young"
214,"atmosphere,basket,black,blanket,cage,cat,coat,cuddled,eye,inside,locked,lonely,metallic,narrow,one,padlock,poor,respectively,silver,strong,tight,toilet,two,white,yellow"
221,"above,accessory,across,along,atmosphere,bakery,brickwalled,building,business,cafe,called,corner,customer,drop,dropping,eaves,exterior,front,green,image,japan,looking,mainly,passersby,people,road,screen,shop,show,shown,sight,signboard,slightly,sold,stall,store,street,succeed,wall,wrote"
229,"able,amp,black,blue,button,deck,different,distinguish,exist,four,green,lamp,lit,machine,machines,middle,one,overlap,pair,place,pointing,same,set,shown,sound,stage,staged,step,switch,third,three,total,two,vertically,video,written,yellow"
236,"center,country,destination,distance,doe,extending,general,grass,green,grows,mean,mountain,plenty,rail,railway,rank,reflected,run,signboard,singletrack,spread,straight,surrounded,track,train,tree,wondered"
239,"barley,big,car,catch,center,cloudy,dark,diagonally,field,figure,grass,gray,green,harvest,harvesting,huge,human,hunting,impossible,land,large,later,machine,magnificent,moving,mowing,people,power,pulled,rain,running,screen,served,sight,sky,smoke,smoking,somewhat,tire,under,vast,wheat,wheel,wheet,white,wide,without,working,yellow"
245,"alcohol,area,back,bar,bit,bottle,bright,carrying,chilly,cocktail,counter,crowded,day,daytime,drink,during,guest,interior,jacket,lined,many,old,people,several,shelf,short,sitting,sleeve,store,table,time,tone,two,waiter,waitress,wall,wearing,woman,woodgrain,working"
249,"aircraft,altitude,back,background,being,below,big,caught,cloud,cloudy,dangerous,electric,flying,he,helicopter,immediately,land,low,male,movie,off,one,person,photograph,reflected,rescue,show,someone,step,stick,stunt,taken,wire,wonder"
257,"adidas,caught,center,clothing,conspicuous,cut,delicious,denim,entire,fruit,glass,grape,grapes,green,harvest,hold,jean,jersey,line,lined,muscat,off,people,person,plier,possibility,red,rip,ripe,scissors,screen,small,someone,spreading,taking,taste,tasty,three,tree,unnatural,using,wearing,white,yellow,yellowgreen"
260,"blue,building,built,child,clothes,country,earth,earthy,enjoyment,fall,felt,foreign,gathered,half,hope,horizontal,house,light,made,many,pant,pillar,pink,poor,poverty,pretty,roof,school,skirt,soil,student,tattling,tin,uniform,visible,wearing,wood"
261,"arranged,black,blue,body,boy,boys,brim,called,child,children,cloth,concrete,costume,costumes,covered,crowd,dance,dancing,daughter,different,ethnic,festival,floor,fur,gathering,gender,girl,gray,group,hand,hanging,hat,lined,made,men,mexican,nearby,one,orange,orientation,outward,pant,parade,parent,pavement,people,red,reflected,round,square,standing,stone,straw,style,suffering,surroundings,waist,watch,wear,wearing,white"
268,"background,being,bible,book,character,cleanly,content,english,enlarged,fuzzy,handwritten,impression,interesting,ive,letter,lining,machine,meaning,novel,part,screen,seen,sentence,somewhat,struck,understand,white,word,written"
271,"background,bottle,clear,cold,cup,dark,delicious,drink,elongated,finger,glass,good,gray,green,holding,hot,juice,light,liquid,little,one,plastic,pour,poured,pure,started,thin,thirsty,translucent,transparent,upward,vertically,white,yellow"
277,"adult,baby,back,beautifully,big,body,boy,bright,cemetery,child,coming,country,cuddle,day,deceased,decorated,directs,distance,during,eye,flower,foreign,front,good,grave,gravestone,graveyard,green,heart,heartshaped,herself,hugging,lawn,looks,maintained,parent,red,shadow,shaped,small,spreading,sunshine,tombstone,tomorrow,tree,two,weather,woman,young"
282,"animal,back,background,beautiful,behind,blooming,child,cozy,even,flower,front,grass,gravel,green,ground,growing,head,here,mountain,nature,one,parent,piece,resting,rising,road,sheep,shown,sitting,small,spread,stoney,three,together,tunis,two,watching,white,wild"
285,"already,animal,around,ball,ceiling,center,child,considered,corner,decorated,dream,family,fine,frame,game,girl,hanging,hard,here,hole,imagine,looking,many,one,parent,place,play,playing,plenty,plush,prize,put,round,shop,square,state,store,stuffed,throwing,toy,wall,work,worked"
293,"big,boat,emerald,five,giant,green,high,intimidation,large,life,line,lined,liner,luxury,many,passenger,pier,place,port,provided,ride,sea,seen,sense,several,ship,show,size,skyscraper,state,wanted,white,wondered"
308,"big,countryside,english,example,front,great,here,holding,hood,japan,letter,line,lining,many,number,one,overseas,people,person,popular,raining,roadside,shop,sidewalk,sign,signboard,small,street,umbrella,various,walking,written"
312,"become,bicycle,bike,brown,climbing,crop,decoyed,dry,earth,entire,grass,ground,grow,growing,heat,important,land,likely,men,moisture,mountain,okay,over,place,red,running,salinity,scorching,screen,spreading,stroke,sun,three,training,tree,young"
313,"background,behind,blonde,blurred,boxing,came,center,cool,dark,exercise,fighting,fly,form,forward,gather,glove,hair,hand,hands,her,hold,lip,looking,one,pink,player,pose,punch,reflected,taking,tank,thin,top,wear,woman,women,yellow"
316,"apartment,area,back,balcony,beach,beautiful,beyond,blue,building,day,emerald,enjoying,entire,front,gradation,green,highrise,hotel,island,land,lined,lining,lower,ocean,parasol,person,place,resort,sea,seen,sleeping,spend,spreading,sunbathing,terrace,throughout,umbrella,veranda,white"
321,"around,back,behind,bind,black,body,call,calling,car,center,dull,hair,haired,hanging,happened,hat,her,holding,impression,japan,jumper,little,long,making,man,mouth,never,noisy,old,passenger,phone,public,screen,seen,serious,set,show,silver,sky,slightly,talking,tight,troubled,try,under,upper,wearing,whole,wonder,worried,year"
332,"advertising,airport,asian,booth,common,dressed,duty,filled,floor,free,full,halfsleeved,hot,large,lightly,lobby,luggage,many,off,outside,people,reflected,shadow,shiny,shop,situation,somewhere,stop,traveler,walking,whitish,whole"
333,"artistic,atmosphere,bank,beautiful,boat,bridge,building,canal,city,cityscape,cloud,concerned,country,enchanting,europe,even,fashionable,felt,floating,got,history,honorable,house,images,imagined,impression,japan,landscape,large,line,live,manner,miniature,ocean,old,over,photographed,picture,place,postcard,pretty,quiet,river,shape,ship,sky,small,stone,two,walled,water,wave,wellbalanced,white,without"
338,"appealing,atmosphere,black,boy,camera,center,child,death,entertainment,every,everyones,eye,face,having,impressive,laughing,murderous,one,reflected,rugged,running,smiling,somewhat,steep,strange,thinking,towards,wondering"
341,"animal,beach,beautiful,big,brown,calm,cast,cloudy,cold,end,everyone,flat,footstep,garbage,influenced,itself,lonely,many,place,popularity,rock,rolling,rough,rounded,s,sand,sandy,sea,sky,stone,unsuitable,wave,waving,well,white,without"
352,"aircraft,back,big,boat,carried,carrying,catch,clothes,cylinder,cylindrical,factory,future,huge,important,impulse,large,launch,launched,made,mechanic,men,object,outdoors,over,part,people,pulled,rocket,several,specialized,standing,table,tense,towards,truck,visible,watching,wearing,white,wondering,work,working"
355,"annoying,back,baggage,basket,better,between,bit,blue,bowl,buy,carry,cart,center,daughter,end,entered,front,girl,girlfriend,glass,good,guess,hard,heavy,home,household,ingredient,inside,item,lined,looking,men,mother,myself,over,pink,point,possible,pot,pottery,remembered,shelf,shop,shopping,store,trouser,vase,walking,weight,wide"
376,"accident,attention,big,board,car,cargo,carrying,center,curves,cylinder,dangerous,diagonally,fall,great,high,lane,large,long,mountain,passenger,pay,pillar,reflected,road,round,run,running,screen,speed,three,trailer,truck,two,twolane,ultra,weight,worried"
385,"above,became,being,beside,black,bread,cafe,checkered,chocolate,coffee,coming,contained,container,cup,day,delicious,desk,dish,drink,full,good,impression,jar,meal,milk,moment,morning,patterned,picture,pitcher,placed,poured,pouring,put,silver,sleeping,smell,stylish,sugar,table,tile,valued,vessel,white"
390,"apple,arm,background,bad,ball,baseball,bat,become,black,blood,blue,body,day,dressed,enjoying,face,form,full,furniture,green,grows,hit,hitting,home,imagine,lawn,light,man,moment,nice,off,park,person,powerful,reflected,run,shirt,shortsleeved,shown,strained,swing,vessel,waving,wearing"
393,"blue,car,climate,comfortable,exhilarating,extending,falling,gentle,highway,image,indescribable,landscape,long,lower,mountain,mystery,one,over,pleasant,range,reflected,refreshing,remaining,road,running,sky,slope,snow,somewhere,straight,sunlight,together,under,vast,wide"
399,"background,being,bird,cactus,center,closeup,cloth,country,dark,divided,drawn,eagle,end,flag,flapping,given,grass,green,hawk,holding,middle,motif,national,noble,orange,part,pattern,picture,red,reflected,snake,somewhat,stripe,stuck,three,vermillion,vertical,white,windy"
402,"back,big,blue,building,car,certain,city,cityscape,cloud,construction,day,development,displayed,facing,felt,good,here,highrise,hotel,large,lined,main,mall,many,might,modern,one,park,part,people,reminiscent,seen,shape,shopping,shown,situation,sky,street,theme,time,townscape,under,various,whole,without"
405,"abnormally,air,backward,behind,black,blue,canyon,center,commercial,darker,dry,foot,grand,gray,halfpants,hand,heel,herself,holding,landscape,likely,looks,middle,mountain,one,opened,part,place,pose,raise,sand,sky,small,spreading,stable,standing,strangeness,stretch,taking,tank,top,upper,wearing,woman,yoga"
413,"background,beautiful,black,certain,clothing,clump,cotton,extends,felt,flow,flying,good,kind,lower,mushroom,object,obliquely,orange,red,rocket,sky,small,smoke,space,spreading,state,swelling,tempuras,toward,upper,visible,water"
423,"assertive,bloom,blooming,blossom,blue,cherry,clean,cleanly,clearly,coming,cup,flower,focus,front,full,gap,greedy,green,he,kind,leaf,little,many,newcomer,open,over,pale,petal,pictures,prosper,screen,season,show,sky,smell,spring,state,tree,viewing,wait,well,yet,youthful"
434,"airliner,airplane,back,baggage,carry,carrying,center,cloudy,compact,customer,employee,fly,jealous,jet,little,load,loading,luggage,mechanic,men,one,people,person,plane,private,shown,sky,slightly,small,smaller,stand,stopping,suitcase,two,under,walking,white,wonder"
441,"around,attached,beyond,big,black,blue,building,child,children,clothes,country,developing,doe,elongated,fact,flat,girl,glass,grass,he,lattice,light,long,man,many,middle,number,outside,painting,pink,reflected,same,school,shirt,shop,simple,skirt,sky,stand,teacher,temporary,trouser,under,uniform,wall,wearing,white,window,writing"
444,"animal,apart,back,became,beside,between,bottom,car,center,clearly,confused,continues,crossing,doe,empty,family,fox,grass,green,growing,here,identify,looking,one,quiet,road,run,s,same,shaped,short,spreading,tall,top,tree,vacant,walking,watching,white,withering"
446,"appearance,big,blond,blonde,brush,building,carving,caught,colorful,cool,deeply,degree,double,face,facial,facing,former,gaze,good,hair,hand,he,long,male,man,mohawk,moment,neat,originally,paint,painting,photograph,repair,serious,short,site,soft,style,under,using,wall,white,work,wrist,young"
452,"anniversary,appearance,ask,background,birthday,blonde,bouquet,celebration,center,dress,efforts,error,flower,gently,hand,happy,holding,kind,lady,looked,made,man,over,placed,practicing,present,purple,putting,red,rose,scene,shoulder,space,stand,talking,transmitted,trial,white,woman,young"
457,"able,ahead,amazing,apart,being,bit,blue,breath,bridge,bright,building,called,center,city,clean,consume,dazzling,dollar,electricity,glitter,hear,highrise,house,human,invisible,large,light,line,lit,magnificent,main,many,million,much,night,nightscape,one,people,plenty,real,road,scared,spreading,star,street,surely,view,wanting,word"
469,"blond,break,brunette,center,chatting,chest,child,conversation,dark,dubious,front,girl,happily,laughing,locker,lord,middle,note,one,people,red,released,smiling,studying,talking,text,three,time,two,watching,woman"
474,"active,appearance,background,black,close,closer,couple,dark,eye,face,female,foreign,he,inclination,kiss,made,male,man,moment,neck,people,secret,show,strong,tied,two,uncomfortable,woman,young"
475,"activity,basket,bedding,box,building,came,center,changing,container,dangerous,deal,digestive,displayed,easy,extinguisher,fire,grain,gravel,green,hand,he,high,hose,jet,kind,large,man,material,motivating,off,pit,poured,powder,pressure,purple,screen,spraying,substance,sunglass,track,training,truck,turning,type,using,wash,water,wearing,worker"
484,"above,air,ball,balloon,beautiful,bowl,candy,clean,cute,dreamlike,falling,fell,fence,fly,flying,kind,many,pattern,plan,pop,popular,reflected,room,situation,size,sphere,super,terrific,various,white,wonder,world"
494,"above,back,broken,brown,crack,cracked,drought,dry,dyed,earth,fiber,full,grass,green,ground,growing,happened,land,leaf,little,made,many,photograph,place,plant,progressing,red,rock,screen,small,soil,spread,still,stone,thin,throughout,worried"
499,"anyone,bright,clothing,cool,court,enjoy,figure,grasping,hair,healthy,holding,hungry,laughing,leg,line,male,man,old,one,outdoor,play,playing,pretty,racket,smile,sport,sportsmanship,sun,sunglass,tennis,thin,wearing,white,young"
507,"appearance,arm,artist,backlight,band,black,bright,brightly,center,closely,conveyed,delight,due,entire,five,glow,hand,light,live,men,might,million,more,occupies,old,ordinary,people,pleased,posing,probably,raised,raising,screen,seen,several,shaded,sight,silhouette,stage,thousand,towards,upwards,violent,wonder,year"
520,"afterwards,appears,around,back,big,center,completely,coral,corner,cover,dazzling,directly,dry,exposed,felt,large,light,little,made,mountain,nature,ocean,peeping,plugged,power,powerful,rise,rock,rocky,same,screen,sea,shining,spreading,sun,sunlight,taking,terrible,things,towering,upper,wanted"
521,"animal,asphalt,big,bit,black,body,branch,broken,bushy,cat,caterpillar,copy,creepy,dead,dry,falling,figure,form,fur,grass,ground,huge,leaf,might,moment,scattered,seen,tail,tea,twitching,unpleasant,wood"
529,"beside,breakfast,bright,child,cutting,daughter,decorated,delicious,dish,eat,eating,enters,family,father,felt,fit,flower,front,girl,happiness,her,looking,member,middle,mother,one,parent,photograph,pleasant,red,restaurant,sitting,small,speaking,sunlight,symbolic,table,tablecloth,taking,three,well,white,window"
538,"appearance,approaching,behind,blue,buried,coaster,curve,fact,fear,felt,filming,fine,frame,lane,popular,rail,red,reflected,roller,running,seat,sense,sky,speed,steel,threefold,thrilling,vacant,weather,whole"
541,"accessory,angkor,barefoot,cambodia,clothes,costume,culture,dance,dancing,dark,donated,dressed,ethnic,folk,foot,golden,hat,head,imagined,indian,indonesia,lady,made,masonry,old,ornament,peculiar,people,place,play,pose,pretty,religious,ruin,saw,similar,smilingly,stone,taking,three,unique,wearing,woman,women"
550,"appearance,being,big,bright,canada,canadas,canadian,center,clear,close,confidence,entirety,feeling,flag,folded,highlighted,leaf,maple,obviously,overflowing,overlooked,part,pride,projected,red,scheme,slightly,state,uploading,visible,white"
558,"added,asian,back,being,black,blow,blowing,center,dark,decorated,done,event,extending,glitter,glitterly,growing,handmade,hat,item,likely,long,lustrous,made,man,mechanism,mouth,paper,purple,same,sits,straight,street,stretch,thin,three,toy,tube,vigorously,wearing,whistle"
570,"animal,animation,appear,beautiful,behind,blooming,brown,coat,creature,deerlike,donkey,ear,eating,felt,flower,food,grassland,grassy,green,greenery,growing,grows,hair,herbivorous,ineffective,may,meadow,nature,one,picture,plant,quiet,relaxed,scene,standing,two,vicinity,walking,wild,wrote,yellow"
577,"backlit,beautiful,become,big,black,calm,center,cloud,dark,dim,drawn,dyed,figure,flow,forever,gentle,gradation,heart,horizon,imagine,light,looking,lower,moment,morning,mountain,one,orange,orangecolored,over,picture,range,refreshing,rise,scenery,screen,setting,silhouette,sinking,sky,starting,still,sun,sunrise,sunset,surroundings,upper"
584,"another,appears,behind,big,breakfast,center,contains,cooking,couple,cup,delicious,foreign,friend,front,fun,gas,good,healthy,kitchen,looking,making,man,many,mixer,one,pink,probably,screen,show,smoothie,smoothy,sport,stove,table,taste,term,three,together,two,woman,wonder,work"
589,"brick,chatting,classmate,conversation,cute,excited,expression,face,feeling,felt,five,front,group,happily,happy,having,he,lady,little,male,man,men,neat,one,people,received,redbrown,sitting,smiled,smiling,story,student,talking,three,turning,two,unfaithful,university,wall,well,woman,wonder,young"
596,"aircraft,airplane,airport,appearance,around,back,big,building,car,cargo,cloud,concrete,crowded,dangerous,divided,many,middle,move,passenger,place,placed,plane,reflected,screen,sky,somewhat,space,square,state,stopped,striking,terminal,tow,trolley,two,white,whole,wide"
599,"across,apartment,back,beside,brightly,building,buildings,built,came,car,castle,city,highclass,highrise,hotel,imitating,intersection,las,libre,lighted,line,lit,night,park,parked,passenger,reflected,road,run,screen,shining,skyscrapers,statue,street,tall,theme,vegas,white,wide"
606,"adult,ahead,almost,amusing,around,ask,back,behind,black,brick,child,colorful,conversation,discomfort,families,father,flower,fountain,front,garden,gazing,girl,grandfather,green,happily,her,holding,id,kind,larger,laughing,lawn,light,little,made,man,near,park,purple,raining,sight,slightly,smile,spread,stone,street,umbrella,vertically,walk,walking,watching,wonder,young"
614,"amount,ball,bean,boiled,bowl,contained,crushing,delicious,design,drama,even,grabbing,green,hairy,hand,handheld,home,imagine,large,man,mixer,pea,people,put,s,seasoning,seen,slightly,started,stirring,white,why,without,working"
625,"assimilating,back,bet,bicycle,chair,city,country,customer,driver,edge,foreign,guest,he,land,lie,loading,lying,oldfashioned,people,placed,platform,put,resting,rickshaw,road,roofed,seat,seated,shoulder,sitting,street,taxi,threewheeled,tired,transportation,went"
628,"big,binoculars,blue,clothes,common,deck,dress,facing,fat,girl,her,kind,lady,landscape,light,looking,mother,observation,one,person,piece,red,sea,seen,she,shoulder,somewhere,standing,sunglass,tattoo,telescope,together,top,tube,watching,wearing,woman"
631,"around,back,beautiful,big,board,chatting,circle,comfortable,everyone,forest,game,grass,grassland,green,group,guitar,hit,holding,keen,lawn,light,lying,many,park,people,person,place,playing,round,shooting,sitting,spacious,standing,talking,walking,white,wide"
634,"according,adult,ask,back,child,circle,circling,eager,expanding,five,foreign,green,id,kind,lawn,listening,men,middle,note,old,one,open,park,people,person,place,round,several,shape,sitting,six,space,story,study,sunglass,support,taking,talking,teacher,tree,wearing,wide,woman,writing,young"
638,"aerial,animal,appearance,around,chasing,chest,deer,densely,desperate,different,enormous,escape,forest,grass,grassy,green,grew,ground,he,hot,instinct,life,little,meadow,nature,natures,over,photograph,place,plain,pleasant,protect,rock,running,rush,several,show,somehow,spread,three,throughout,type,vast,wearing,wild,zone"
